kepid,NumStrongPeaks,NumMediumPeaks,NumWeakPeaks,GlobalMean,GlobalMedian,GlobalSTD,MeanStrongPeakWidth,STDStrongPeakWidth,MeanMediumPeakWidth,STDMediumPeakWidth,MaxMagnitude,MeanOverallPoints,STDOverallPoints,NonPeakWidthMean,NonPeakWidthSTD,Pairwise 1,Pairwise 2,Pairwise 3,Pairwise 4,Pairwise 5,Pairwise 6,Pairwise 7,Pairwise 8,Pairwise 9,Pairwise 10,Pairwise 11,Pairwise 12,Pairwise 13,Pairwise 14,Pairwise 15,Pairwise 16,Pairwise 17,Pairwise 18,Pairwise 19,Pairwise 20,Pairwise 21,Pairwise 22,Pairwise 23,Pairwise 24,Pairwise 25,Pairwise 26,Pairwise 27,Pairwise 28,Pairwise 29,Pairwise 30,Pairwise 31,Pairwise 32,Pairwise 33,Pairwise 34,Pairwise 35,Pairwise 36,Pairwise 37,Pairwise 38,Pairwise 39,Pairwise 40,Pairwise 41,Pairwise 42,Pairwise 43,Pairwise 44,Pairwise 45,Pairwise 46,Pairwise 47,Pairwise 48,Pairwise 49,Pairwise 50,Pairwise 51,Pairwise 52,Pairwise 53,Pairwise 54,Pairwise 55,Pairwise 56,Pairwise 57,Pairwise 58,Pairwise 59,Pairwise 60,Pairwise 61,Pairwise 62,Pairwise 63,Pairwise 64,Pairwise 65,Pairwise 66,Pairwise 67,Pairwise 68,Pairwise 69,Pairwise 70,Pairwise 71,Pairwise 72,Pairwise 73,Pairwise 74,Pairwise 75,Pairwise 76,Pairwise 77,Pairwise 78,Pairwise 79,Pairwise 80,Pairwise 81,Pairwise 82,Pairwise 83,Pairwise 84,Pairwise 85,Pairwise 86,Pairwise 87,Pairwise 88,Pairwise 89,Pairwise 90,Pairwise 91,Pairwise 92,Pairwise 93,Pairwise 94,Pairwise 95,Pairwise 96,Pairwise 97,Pairwise 98,Pairwise 99,Pairwise 100,Pairwise 101,Pairwise 102,Pairwise 103,Pairwise 104,Pairwise 105,label
11442793,14,418,4961,0.9999721044850006,1.0,0.00036532372330149425,0.0,0.0,0.0,0.0,-0.9919693708178653,-0.9998068956508963,0.00035815589515664865,30.06847968141385,527.1463747138769,5852,69454,13.999609462790009,14.0,0.00511453212622092,0.0,0.0,0.0,0.0,-13.887571191450114,-13.997296539112549,0.005014182532193081,420.9587155397939,7380.049245994276,2073698,417.98833967473024,418.0,0.1527053163400246,0.0,0.0,0.0,0.0,-414.6431970018677,-417.91928238207464,0.14970916417547914,12568.624506830989,220347.18463040053,4960.861610350088,4961.0,1.812370991298713,0.0,0.0,0.0,0.0,-4921.16004862743,-4960.042009324096,1.7768113958721339,149169.7276994941,2615173.1649555434,0.9999721044850006,0.0003653135324080913,0.0,0.0,0.0,0.0,-0.9919416993214027,-0.9997790055226422,0.0003581459042135032,30.06764090568789,527.1316696942741,0.00036532372330149425,0.0,0.0,0.0,0.0,-0.9919693708178653,-0.9998068956508963,0.00035815589515664865,30.06847968141385,527.1463747138769,0.0,0.0,0.0,0.0,-0.00036238994394822315,-0.00036525317770169397,1.308428451410065e-07,0.010984728951229436,0.19257907633535815,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.9917778172181827,-0.0003552796779732501,-29.827010871021866,-522.9130576538431,-0.00035808673369563677,-30.062673327216434,-527.0445804563054,0.010769203256296279,0.1888005817142307,15850.490057215178,1
4458082,108,1378,2712,0.9999901400350344,1.0,0.00027135009880239515,0.0,0.0,0.0,0.0,-0.9986205036732466,-0.999748324625337,0.00019643746238626813,34.057366155226454,202.70758406500866,148824,292896,107.99893512378371,108.0,0.029305810670658676,0.0,0.0,0.0,0.0,-107.85101439671064,-107.9728190595364,0.021215245937716957,3678.195544764457,21892.419079020936,3737136,1377.9864129682774,1378.0,0.3739204361497005,0.0,0.0,0.0,0.0,-1376.0990540617338,-1377.6531913337144,0.2706908231682775,46931.050561902055,279331.05084158195,2711.973259775013,2712.0,0.7359014679520957,0.0,0.0,0.0,0.0,-2708.2588059618447,-2711.317456383914,0.5327383979915592,92363.57701297414,549742.9679843035,0.9999901400350344,0.0002713474232999275,0.0,0.0,0.0,0.0,-0.9986106573100665,-0.9997384671418817,0.00019643552551977108,34.05703035078934,202.7055853753315,0.00027135009880239515,0.0,0.0,0.0,0.0,-0.9986205036732466,-0.999748324625337,0.00019643746238626813,34.057366155226454,202.70758406500866,0.0,0.0,0.0,0.0,-0.0002709757723378331,-0.00027128180666461424,5.3303324827005636e-08,0.009241469671170047,0.05500472296403492,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.9983691754838385,-0.00019616647762846952,-34.01038414371642,-202.42794969738594,-0.00019638802391432422,-34.04879475483931,-202.65656755784207,0.006690142583092658,0.03981936342018142,6903.686412943347,1
1576144,0,453,71,1.00106051776995,1.0,0.007751267588259554,0,0.0,0,0.0,-1,-0.9916008969451452,0.001953978954247049,137.87610250547843,382.11021069426016,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,-0.0,0.0,0.0,0.0,32163,453.4804145497874,453.0,3.5113242174815777,0,0.0,0,0.0,-453,-449.19520631615075,0.8851524662739132,62457.87443498173,173095.92544449985,71.07529676166645,71.0,0.5503399987664284,0,0.0,0,0.0,-71,-70.40366368310531,0.13873250575154047,9789.203277888968,27129.824959292473,1.00106051776995,0.007759487945276542,0.0,0.0,0.0,0.0,-1.00106051776995,-0.992652507317054,0.001956051183650136,138.02232256223695,382.5154453627808,0.007751267588259554,0.0,0.0,0.0,0.0,-1.0,-0.9916008969451452,0.001953978954247049,137.87610250547843,382.11021069426016,0.0,0.0,0.0,0.0,-0.007751267588259554,-0.007686163892980006,1.5145813736196449e-05,1.0687145645462668,2.961838491297448,0.0,0,0.0,0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.9916008969451452,-0.001953978954247049,-137.87610250547843,-382.11021069426016,-0.0019375672836433105,-136.7180669117332,-378.9008276563268,0.26940700258931366,0.74663530989949,52683.86657807177,0
